
=== Sheet: Get External ===
No data found in this sheet.

=== Sheet: STOK PACUL ===
Data starts at row 1
R1: NoItemCOPY | RakBarang | NoItem | NamaItem | Quantity | NOTE | STS | SO+BR DTG | CATATAN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R22: 06381-KZL-A00 | NOSTOK | 06381-KZL-A00 | STANG SEHER H.BEAT FI AHM | 0 |  |  | F:=E22+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C22,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R23: 06381-KZR-600 | NOSTOK | 06381-KZR-600 | SETANG SEHER H.VARIO 125 ORI | 0 |  |  | F:=E23+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C23,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R24: 06401-K15-900 | NOSTOK | 06401-K15-900 | GIR SET Y.CB 150 | 0 |  |  | F:=E24+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C24,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R25: 06401-K41-N01 | NOSTOK | 06401-K41-N01 | GIR SET H.SUPRA X 125 NEW FI ORI | 0 |  |  | F:=E25+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C25,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R26: 06401-K45-N01 | NOSTOK | 06401-K45-N01 | GIRSET CB150R LED/CBR150 AHM | 0 |  |  | F:=E26+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C26,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R27: 06401-K45-NA0 | NOSTOK | 06401-K45-NA0 | GIRSET CBR150R LED NEW - 6 LUBANG H.AHM | 0 |  |  | F:=E27+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C27,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R28: 06401-K56-N00 | NOSTOK | 06401-K56-N00 | GIR SET SONIC 150R | 0 |  |  | F:=E28+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C28,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R29: 06401-K56-N11 | NOSTOK | 06401-K56-N11 | GIR SET SUPRA GTR 150 | 0 |  |  | F:=E29+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C29,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R30: 06401-KEH-900 | NOSTOK | 06401-KEH-900 | GIR SET H.MEGAPRO PRIMUS ORI | 0 |  |  | F:=E30+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C30,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
R31: 06401-KEV-881 | NOSTOK | 06401-KEV-881 | GIR SET H.SUPRA X 100 ORI | 0 |  |  | F:=E31+SUMIF('BR DTG PACUL'!C:C,'STOK PACUL'!C31,'BR DTG PACUL'!E:E) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
