RECONSTRUCTED EXCEL CONTENT FROM SHEET20 (PO SUPPLIER)
R1: A1: STS | B1: PACUL
R2: A2: RakBarang | B2: (Multiple Items)
R4: A4: NoItem | B4: NamaItem | C4: STATUS | D4: DI NOSTOK
R48: A48: 2DP-WE763-00 | B48: ROLLER Y.NMAX ORI (1SET) | C48: D | D48: F:IFERROR(VLOOKUP(A48,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R49: A49: 2PH-H2370-10 | B49: COP BUSI Y.MIO ORI (PK) | C49: D | D49: F:IFERROR(VLOOKUP(A49,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R50: A50: 31600-KVB-N51 | B50: KIPROK H.VARIO ORI | C50: D | D50: F:IFERROR(VLOOKUP(A50,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R51: A51: 31917-K0R-V01 | B51: BUSI LMAR8L-9 DENSO ORI | C51: D | D51: F:IFERROR(VLOOKUP(A51,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R52: A52: 35160-K20-T21 | B52: SAKLAR STATER H.BEAT FI/VARIO 125 ORI (PK) | C52: D | D52: F:IFERROR(VLOOKUP(A52,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R53: A53: 35170-KYZ-901 | B53: SAKLAR DIMMER H.VARIO 125 ORI (PK) | C53: D | D53: F:IFERROR(VLOOKUP(A53,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R54: A54: 35180-K03-N31 | B54: SAKLAR KLAKSON H.VARIO 125 LED ORI (PK) | C54: D | D54: F:IFERROR(VLOOKUP(A54,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R55: A55: 35200-KYZ-901 | B55: SAKLAR SEN H.BEAT FI ORI (PK) | C55: D | D55: F:IFERROR(VLOOKUP(A55,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R56: A56: 37420B10E10N000 | B56: SAKLAR DIMMER H.BEAT CARBU SGP (PK) | C56: D | D56: F:IFERROR(VLOOKUP(A56,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R57: A57: 37520B09G40N000 | B57: SAKLAR KLAKSON S.SMASH ORI (PK) | C57: D | D57: F:IFERROR(VLOOKUP(A57,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R58: A58: 38502-K59-A11 | B58: RELAY STATER H.VARIO 150 ORI | C58: D | D58: F:IFERROR(VLOOKUP(A58,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R59: A59: 42711-KVB-931 | B59: BAN LUAR 90/90-14 H.AHM ORI | C59: D | D59: F:IFERROR(VLOOKUP(A59,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R60: A60: 44711-KTM-850 | B60: BAN LUAR 70/90-17 (DEPAN) H.AHM ORI | C60: D | D60: F:IFERROR(VLOOKUP(A60,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R61: A61: 44800-KWW-650 | B61: GIRBOX H.SUPRA X 125 HELM IN ORI | C61: D | D61: F:IFERROR(VLOOKUP(A61,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R62: A62: 44830-KVB-T00 | B62: KABEL KILOMETER H.VARIO ORI (PB) | C62: D | D62: F:IFERROR(VLOOKUP(A62,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R63: A63: 44D-E7641-00 | B63: FANBELT Y.XEON ORI | C63: D | D63: F:IFERROR(VLOOKUP(A63,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R64: A64: 50503-KZL-930 | B64: AS STANDAR TENGAH H.BEAT FI ESP ORI | C64: D | D64: F:IFERROR(VLOOKUP(A64,'NOSTOK PACUL'!A:C,3,0),0) (=0)
R65: A65: 51454-KEV-881 | B65: TUTUP AS SHOCK H.BEAT | C65: D | D65: F:IFERROR(VLOOKUP(A65,'NOSTOK PACUL'!A:C,3,0),0) (=0)
